user_id,degree_encoded,specialization_encoded,cgpa_normalized,cgpa_category_encoded,certifications_count,coding_skills_encoded,internships_count,projects_count,experience_category_encoded,total_experience,has_research,research_level_encoded,extracurriculars,leadership_positions,field_courses,target_career_encoded
USER_0015,0,1,9.764929315174005,3,1,4,2,1,2,4,1,1,3,1,1,4
USER_0050,3,4,7.242841757750052,4,0,4,0,0,3,1,0,0,0,1,5,6
USER_0050,2,4,7.242841757750052,4,0,4,0,0,3,1,0,0,0,1,5,6
USER_0105,0,1,5.791095880653994,0,1,3,2,2,2,5,1,1,8,1,0,4
USER_0116,0,1,8.901822337161613,1,1,2,0,2,0,3,1,1,8,1,6,4
USER_0185,3,4,6.492018831755612,2,0,2,0,1,0,1,0,0,8,0,7,10
USER_0185,2,4,6.492018831755612,2,0,2,0,1,0,1,0,0,8,0,7,10
USER_0284,3,0,8.27007589253638,1,1,4,0,2,0,2,1,1,6,0,0,0
USER_0284,1,0,8.27007589253638,1,1,4,0,2,0,2,1,1,6,0,0,0
USER_0347,0,1,5.813028132033903,0,0,1,1,1,0,3,1,1,1,1,7,4
USER_0381,3,4,9.4401236866553,3,1,4,1,2,2,3,0,0,2,0,6,6
USER_0381,2,4,9.4401236866553,3,1,4,1,2,2,3,0,0,2,0,6,6
USER_0401,0,1,9.979388664350434,3,1,2,1,3,2,5,0,0,9,1,4,4
USER_0419,0,1,6.6365685390239495,2,1,0,1,3,2,5,1,1,9,1,9,4
USER_0443,0,1,5.897259638293386,0,0,1,2,2,2,5,0,0,0,1,9,4
USER_0478,0,1,6.212523986638949,2,1,3,0,3,2,3,0,0,6,0,4,4
USER_0496,3,4,6.903810300690724,2,1,2,2,4,1,6,1,1,8,0,2,0
USER_0496,2,4,6.903810300690724,2,1,2,2,4,1,6,1,1,8,0,2,0
USER_0542,0,1,7.811673903348396,4,0,1,0,4,2,5,1,1,0,1,2,4
USER_0565,3,4,6.401423852754295,2,0,0,1,4,1,6,1,1,3,1,6,13
USER_0565,2,4,6.401423852754295,2,0,0,1,4,1,6,1,1,3,1,6,13
USER_0641,3,4,8.240540671595083,1,0,4,1,0,0,1,0,0,7,0,8,6
USER_0641,2,4,8.240540671595083,1,0,4,1,0,0,1,0,0,7,0,8,6
USER_0685,3,4,5.87085902172319,0,0,0,2,2,2,4,0,0,6,0,8,9
USER_0685,2,4,5.87085902172319,0,0,0,2,2,2,4,0,0,6,0,8,9
USER_0738,3,0,8.639843520301518,1,1,4,0,3,2,3,1,1,6,0,0,0
USER_0738,1,0,8.639843520301518,1,1,4,0,3,2,3,1,1,6,0,0,0
USER_0753,0,1,5.481335904534017,0,0,2,0,0,3,0,0,0,1,0,0,4
USER_0805,3,8,6.39674782728191,2,0,4,0,2,0,2,0,0,0,0,3,10
USER_0805,1,8,6.39674782728191,2,0,4,0,2,0,2,0,0,0,0,3,10
USER_0877,3,10,7.706645982632619,4,0,0,2,1,2,4,0,0,7,1,3,13
USER_0877,1,10,7.706645982632619,4,0,0,2,1,2,4,0,0,7,1,3,13
USER_0926,0,1,7.221102631766264,4,0,4,1,0,0,1,1,1,5,0,8,4
USER_0975,0,1,7.349003491990384,4,1,0,1,0,0,2,0,0,1,1,5,4
USER_1023,3,4,5.612915493316056,0,0,2,2,3,1,5,1,1,0,0,7,5
USER_1023,2,4,5.612915493316056,0,0,2,2,3,1,5,1,1,0,0,7,5
USER_1069,3,12,9.406992524865396,3,1,2,1,3,2,5,0,0,3,1,8,1
USER_1069,1,12,9.406992524865396,3,1,2,1,3,2,5,0,0,3,1,8,1
USER_1088,0,1,7.26935361946609,4,0,4,1,1,0,2,1,1,0,0,3,4
USER_1159,3,4,5.984855979649479,0,1,3,1,0,0,1,0,0,0,0,0,9
USER_1159,2,4,5.984855979649479,0,1,3,1,0,0,1,0,0,0,0,0,9
USER_1208,0,1,5.9829273351651455,0,0,4,0,0,3,1,1,1,3,1,0,4
USER_1219,3,4,9.35307878877106,3,1,3,0,3,2,3,0,0,4,0,6,13
USER_1219,2,4,9.35307878877106,3,1,3,0,3,2,3,0,0,4,0,6,13
USER_1220,0,1,8.002236355354322,1,1,4,0,1,0,1,0,0,0,0,8,4
USER_1237,3,12,9.94534679208506,3,0,4,2,4,1,7,0,0,6,1,6,3
USER_1237,1,12,9.94534679208506,3,0,4,2,4,1,7,0,0,6,1,6,3
USER_1253,3,12,9.049312286030505,3,0,3,2,3,1,6,0,0,4,1,6,11
USER_1253,1,12,9.049312286030505,3,0,3,2,3,1,6,0,0,4,1,6,11
USER_1265,3,4,5.070305896127703,0,1,0,1,3,2,5,1,1,9,1,9,10
USER_1265,2,4,5.070305896127703,0,1,0,1,3,2,5,1,1,9,1,9,10
USER_1272,0,1,5.3368649517392015,0,1,0,1,3,2,5,1,1,6,1,2,4
USER_1377,0,1,5.3062965711697165,0,0,0,0,2,0,3,0,0,7,1,9,4
USER_1435,0,1,6.07534373996884,2,1,1,2,0,0,3,1,1,6,1,7,4
USER_1465,3,5,9.076119774606497,3,0,4,0,2,0,3,0,0,9,1,5,5
USER_1465,1,5,9.076119774606497,3,0,4,0,2,0,3,0,0,9,1,5,5
USER_1493,3,4,7.49679263010103,4,0,3,0,3,2,3,1,1,1,0,2,10
USER_1493,2,4,7.49679263010103,4,0,3,0,3,2,3,1,1,1,0,2,10
USER_1510,3,4,9.927284104542633,3,1,0,2,3,1,5,0,0,7,0,9,9
USER_1510,1,4,9.927284104542633,3,1,0,2,3,1,5,0,0,7,0,9,9
USER_1518,0,1,5.957341742123992,0,0,1,1,4,1,5,0,0,2,0,6,4
USER_1520,3,4,8.49307202059874,1,0,3,2,4,1,6,0,0,6,0,0,13
USER_1520,2,4,8.49307202059874,1,0,3,2,4,1,6,0,0,6,0,0,13
USER_1545,3,3,8.447737109133573,1,1,4,2,4,1,7,1,1,1,1,4,4
USER_1545,1,3,8.447737109133573,1,1,4,2,4,1,7,1,1,1,1,4,4
USER_1546,3,12,6.033576011148291,2,1,0,2,0,0,2,0,0,1,0,9,11
USER_1546,1,12,6.033576011148291,2,1,0,2,0,0,2,0,0,1,0,9,11
USER_1572,3,8,7.065915664427541,4,0,3,0,2,0,3,1,1,2,1,5,10
USER_1572,1,8,7.065915664427541,4,0,3,0,2,0,3,1,1,2,1,5,10
USER_1594,3,4,5.976042723653031,0,0,0,1,1,0,3,1,1,6,1,3,5
USER_1594,2,4,5.976042723653031,0,0,0,1,1,0,3,1,1,6,1,3,5
USER_1647,3,4,6.858611178929591,2,1,0,2,4,1,6,0,0,0,0,4,13
USER_1647,2,4,6.858611178929591,2,1,0,2,4,1,6,0,0,0,0,4,13
USER_1680,0,1,9.28139869011452,3,1,0,2,2,2,4,0,0,9,0,3,10
USER_1685,3,4,8.089746106618549,1,1,4,0,4,2,4,1,1,1,0,1,0
USER_1685,2,4,8.089746106618549,1,1,4,0,4,2,4,1,1,1,0,1,0
USER_1687,3,4,7.17945523552884,4,1,1,1,1,0,3,0,0,2,1,2,10
USER_1687,2,4,7.17945523552884,4,1,1,1,1,0,3,0,0,2,1,2,10
USER_1692,3,0,8.36365488391735,1,0,0,1,1,0,2,1,1,0,0,5,0
USER_1692,1,0,8.36365488391735,1,0,0,1,1,0,2,1,1,0,0,5,0
USER_1697,3,12,8.166431054789129,1,1,1,0,4,2,4,0,0,9,0,8,1
USER_1697,1,12,8.166431054789129,1,1,1,0,4,2,4,0,0,9,0,8,1
USER_1711,3,7,6.358788645698409,2,0,2,1,2,2,4,0,0,2,1,5,7
USER_1711,1,7,6.358788645698409,2,0,2,1,2,2,4,0,0,2,1,5,7
USER_1715,3,10,5.487308643198396,0,1,0,2,0,0,2,0,0,5,0,1,14
USER_1715,1,10,5.487308643198396,0,1,0,2,0,0,2,0,0,5,0,1,14
USER_1730,3,0,9.158525343745424,3,0,4,0,2,0,2,0,0,1,0,9,0
USER_1730,1,0,9.158525343745424,3,0,4,0,2,0,2,0,0,1,0,9,0
USER_1748,3,12,6.273275847732835,2,1,0,2,1,2,4,1,1,5,1,2,3
USER_1748,1,12,6.273275847732835,2,1,0,2,1,2,4,1,1,5,1,2,3
USER_1812,3,4,5.662690462756244,0,1,1,0,2,0,2,0,0,3,0,5,6
USER_1812,2,4,5.662690462756244,0,1,1,0,2,0,2,0,0,3,0,5,6
USER_1854,3,4,9.674729200424988,3,0,0,2,3,1,5,0,0,9,0,3,13
USER_1854,2,4,9.674729200424988,3,0,0,2,3,1,5,0,0,9,0,3,13
USER_1946,3,4,8.934934566755553,1,0,1,2,3,1,6,0,0,6,1,3,13
USER_1946,2,4,8.934934566755553,1,0,1,2,3,1,6,0,0,6,1,3,13
USER_1989,3,4,9.647764963939972,3,1,2,0,0,3,0,0,0,6,0,9,10
USER_1989,2,4,9.647764963939972,3,1,2,0,0,3,0,0,0,6,0,9,10
USER_1997,0,1,8.143103983323886,1,0,2,1,4,1,5,1,1,9,0,5,4
USER_2031,3,4,7.663827724713835,4,0,2,1,2,2,3,1,1,1,0,5,6
USER_2031,2,4,7.663827724713835,4,0,2,1,2,2,3,1,1,1,0,5,6
USER_2127,0,1,9.797053531480008,3,0,0,2,4,1,6,0,0,9,0,9,4
USER_2140,3,10,9.13596939550537,3,0,3,2,3,1,5,0,0,3,0,6,14
USER_2140,1,10,9.13596939550537,3,0,3,2,3,1,5,0,0,3,0,6,14
USER_2156,3,4,8.407137613524919,1,0,0,2,3,1,5,0,0,3,0,9,13
USER_2156,2,4,8.407137613524919,1,0,0,2,3,1,5,0,0,3,0,9,13
USER_2164,0,1,8.453083241156477,1,1,4,2,0,0,3,1,1,4,1,2,10
USER_2172,3,7,9.83897756448841,3,0,0,1,0,0,1,1,1,8,0,8,7
USER_2172,1,7,9.83897756448841,3,0,0,1,0,0,1,1,1,8,0,8,7
USER_2173,0,1,8.01113362269365,1,1,0,0,1,0,2,1,1,4,1,4,4
USER_2278,3,12,6.998387092362233,2,0,4,1,2,2,3,1,1,6,0,8,3
USER_2278,1,12,6.998387092362233,2,0,4,1,2,2,3,1,1,6,0,8,3
USER_2293,3,4,7.572831133184346,4,0,3,2,3,1,6,0,0,0,1,9,13
USER_2293,2,4,7.572831133184346,4,0,3,2,3,1,6,0,0,0,1,9,13
USER_2377,3,4,5.783884644997482,0,0,2,2,0,0,3,0,0,7,1,7,10
USER_2377,2,4,5.783884644997482,0,0,2,2,0,0,3,0,0,7,1,7,10
USER_2415,3,10,8.276798939224213,1,1,3,1,4,1,6,1,1,9,1,3,14
USER_2415,1,10,8.276798939224213,1,1,3,1,4,1,6,1,1,9,1,3,14
USER_2451,3,4,8.6767003351507,1,0,1,2,2,2,5,1,1,3,1,0,10
USER_2451,2,4,8.6767003351507,1,0,1,2,2,2,5,1,1,3,1,0,10
USER_2532,3,4,9.416444545186645,3,1,4,1,3,2,5,0,0,4,1,3,9
USER_2532,1,4,9.416444545186645,3,1,4,1,3,2,5,0,0,4,1,3,9
USER_2578,3,12,8.505288155707262,1,0,1,0,1,0,1,0,0,5,0,6,11
USER_2578,1,12,8.505288155707262,1,0,1,0,1,0,1,0,0,5,0,6,11
USER_2579,3,4,7.601352092226,4,0,2,1,3,2,4,0,0,8,0,3,13
USER_2579,2,4,7.601352092226,4,0,2,1,3,2,4,0,0,8,0,3,13
USER_2589,3,12,7.283149807592814,4,0,1,1,0,0,1,1,1,5,0,0,1
USER_2589,1,12,7.283149807592814,4,0,1,1,0,0,1,1,1,5,0,0,1
USER_2637,3,12,7.05483730993254,4,0,2,2,1,2,4,0,0,7,1,6,11
USER_2637,1,12,7.05483730993254,4,0,2,2,1,2,4,0,0,7,1,6,11
USER_2654,3,0,9.10130409403488,3,0,0,2,2,2,5,0,0,8,1,0,0
USER_2654,1,0,9.10130409403488,3,0,0,2,2,2,5,0,0,8,1,0,0
USER_2677,0,1,8.435784598337202,1,1,1,1,1,0,2,0,0,8,0,8,4
USER_2680,0,1,7.719774391369025,4,1,2,2,2,2,4,1,1,8,0,0,4
USER_2709,3,12,8.343075450681663,1,0,1,2,3,1,6,0,0,0,1,5,11
USER_2709,1,12,8.343075450681663,1,0,1,2,3,1,6,0,0,0,1,5,11
USER_2744,3,8,5.002902735132022,0,1,3,0,2,0,2,1,1,9,0,9,10
USER_2744,1,8,5.002902735132022,0,1,3,0,2,0,2,1,1,9,0,9,10
USER_2818,3,12,7.923615227909866,4,0,2,1,4,1,5,1,1,8,0,6,3
USER_2818,1,12,7.923615227909866,4,0,2,1,4,1,5,1,1,8,0,6,3
USER_2835,0,1,9.356681872094985,3,0,3,1,4,1,6,0,0,9,1,6,4
USER_2848,3,4,5.807897772401548,0,0,2,2,2,2,5,0,0,5,1,2,6
USER_2848,2,4,5.807897772401548,0,0,2,2,2,2,5,0,0,5,1,2,6
USER_2922,3,4,5.049145192649675,0,0,0,0,3,2,3,0,0,9,0,9,13
USER_2922,2,4,5.049145192649675,0,0,0,0,3,2,3,0,0,9,0,9,13
USER_2963,3,4,5.358473049767544,0,0,2,1,4,1,5,0,0,9,0,7,13
USER_2963,2,4,5.358473049767544,0,0,2,1,4,1,5,0,0,9,0,7,13
USER_2982,0,1,7.229406082089193,4,0,2,0,4,2,5,1,1,5,1,5,4
USER_3039,3,4,6.546224858710314,2,0,1,1,2,2,4,1,1,5,1,4,0
USER_3039,2,4,6.546224858710314,2,0,1,1,2,2,4,1,1,5,1,4,0
